index,stadium_name,lon,lat,attendance
302,MASCOT PARK (Silkeborg),55.81619865,12.35303259,2247
303,Sydbank Park,56.184187,9.575152258,3812
304,Telia Parken,55.2613291,9.4877072,12631
305,Aalborg Portland Park,55.70270425,12.57226378,7857
306,MCH Arena,57.05203525,9.898599342,7602
307,Harboe Arena Slagelse,56.1169164,8.951716477,1750
308,HDS Arena,55.40040215,11.36431815,2086
309,BioNutria Park Randers,55.7211638,12.3686863,4263
310,EWII Park (Odense),56.46607165,10.01015413,8421
311,Brøndby Stadion,55.397745,10.35022493,13290
312,Blue Water Arena,55.6503299,12.4170778,5260
313,Right to Dream Park,55.48194305,8.438397123,2389
314,MASCOT PARK (Silkeborg),55.81619865,12.35303259,2620
315,Telia Parken,56.184187,9.575152258,31223
316,MCH Arena,55.70270425,12.57226378,9190
317,Aalborg Portland Park,56.1169164,8.951716477,5670
318,Harboe Arena Slagelse,57.05203525,9.898599342,2138
319,BioNutria Park Randers,55.40040215,11.36431815,5463
320,Sydbank Park,56.46607165,10.01015413,3145
321,Right to Dream Park,55.2613291,9.4877072,3243
322,Blue Water Arena,55.81619865,12.35303259,7716
323,Brøndby Stadion,55.48194305,8.438397123,12791
324,HDS Arena,55.6503299,12.4170778,6596
325,EWII Park (Odense),55.7211638,12.3686863,6005
326,MCH Arena,55.397745,10.35022493,9202
327,MASCOT PARK (Silkeborg),56.1169164,8.951716477,1814
328,Aalborg Portland Park,56.184187,9.575152258,4644
329,Harboe Arena Slagelse,57.05203525,9.898599342,4242
330,Telia Parken,55.40040215,11.36431815,9520
331,Sydbank Park,55.70270425,12.57226378,2375
332,HDS Arena,55.2613291,9.4877072,2940
333,Blue Water Arena,55.7211638,12.3686863,7682
334,Brøndby Stadion,55.48194305,8.438397123,22020
335,BioNutria Park Randers,55.6503299,12.4170778,5083
336,EWII Park (Odense),56.46607165,10.01015413,4331
337,HDS Arena,55.397745,10.35022493,2743
338,BioNutria Park Randers,55.7211638,12.3686863,4557
339,Right to Dream Park,56.46607165,10.01015413,5264
340,Aalborg Portland Park,55.81619865,12.35303259,7690
341,Sydbank Park,57.05203525,9.898599342,4633
342,MASCOT PARK (Silkeborg),55.2613291,9.4877072,3578
343,MCH Arena,56.184187,9.575152258,9058
344,Harboe Arena Slagelse,56.1169164,8.951716477,1854
345,EWII Park (Odense),55.40040215,11.36431815,6644
346,Brøndby Stadion,55.397745,10.35022493,15904
347,Telia Parken,55.6503299,12.4170778,10944
348,Blue Water Arena,55.70270425,12.57226378,5690
349,Blue Water Arena,55.48194305,8.438397123,5402
350,Right to Dream Park,55.48194305,8.438397123,3883
351,Sydbank Park,55.81619865,12.35303259,3615
352,Brøndby Stadion,55.2613291,9.4877072,12014
353,BioNutria Park Randers,55.6503299,12.4170778,5777
354,HDS Arena,56.46607165,10.01015413,4166
355,Aalborg Portland Park,55.7211638,12.3686863,9401
356,MASCOT PARK (Silkeborg),57.05203525,9.898599342,1965
357,Harboe Arena Slagelse,56.184187,9.575152258,1688
358,Telia Parken,55.40040215,11.36431815,12892
359,EWII Park (Odense),55.70270425,12.57226378,9605
360,MCH Arena,55.397745,10.35022493,9039
361,BioNutria Park Randers,56.1169164,8.951716477,5930
362,Blue Water Arena,56.46607165,10.01015413,6741
363,HDS Arena,55.48194305,8.438397123,2787
364,EWII Park (Odense),55.7211638,12.3686863,6378
365,Brøndby Stadion,55.397745,10.35022493,14061
366,Harboe Arena Slagelse,55.6503299,12.4170778,3544
367,Aalborg Portland Park,55.40040215,11.36431815,7506
368,HDS Arena,57.05203525,9.898599342,2082
369,MASCOT PARK (Silkeborg),55.7211638,12.3686863,3996
370,MCH Arena,56.184187,9.575152258,11305
371,Right to Dream Park,56.1169164,8.951716477,3019
372,Sydbank Park,55.81619865,12.35303259,2524
373,EWII Park (Odense),55.2613291,9.4877072,4717
374,Telia Parken,55.397745,10.35022493,8127
375,BioNutria Park Randers,55.70270425,12.57226378,6494
376,Harboe Arena Slagelse,56.46607165,10.01015413,2432
377,Brøndby Stadion,55.40040215,11.36431815,10052
378,Blue Water Arena,55.6503299,12.4170778,6060
379,Sydbank Park,55.48194305,8.438397123,5075
380,Right to Dream Park,55.2613291,9.4877072,3392
381,MASCOT PARK (Silkeborg),55.81619865,12.35303259,2052
382,Telia Parken,56.184187,9.575152258,14463
383,MCH Arena,55.70270425,12.57226378,11535
384,Aalborg Portland Park,56.1169164,8.951716477,4793
385,Blue Water Arena,57.05203525,9.898599342,10702
386,BioNutria Park Randers,55.48194305,8.438397123,9143
387,HDS Arena,56.46607165,10.01015413,2958
388,Sydbank Park,55.7211638,12.3686863,5643
389,Right to Dream Park,55.2613291,9.4877072,4408
390,MASCOT PARK (Silkeborg),55.81619865,12.35303259,2103
391,EWII Park (Odense),56.184187,9.575152258,7000
392,Brøndby Stadion,55.397745,10.35022493,22838
393,Aalborg Portland Park,55.6503299,12.4170778,6776
394,MCH Arena,57.05203525,9.898599342,11535
395,Telia Parken,56.1169164,8.951716477,16699
396,Harboe Arena Slagelse,55.70270425,12.57226378,1201
397,Right to Dream Park,55.40040215,11.36431815,3211
398,MCH Arena,None,None,7232
399,EWII Park (Odense),55.81619865,12.35303259,7797
400,Ceres Park,56.1169164,8.951716477,13437
401,Aalborg Portland Park,55.397745,10.35022493,7764
402,HDS Arena,56.1327356,10.196762,4686
403,Sydbank Park,57.05203525,9.898599342,5245
404,BioNutria Park Randers,55.7211638,12.3686863,3389
405,Brøndby Stadion,55.2613291,9.4877072,11494
406,Blue Water Arena,56.46607165,10.01015413,9255
407,Energi Viborg Arena,55.6503299,12.4170778,6318
408,Energi Viborg Arena,55.48194305,8.438397123,3557
409,MCH Arena,56.4559039,9.40202035,6477
410,Ceres Park,56.4559039,9.40202035,9543
411,Sydbank Park,56.1169164,8.951716477,6242
412,Brøndby Stadion,56.1327356,10.196762,9498
413,Right to Dream Park,55.2613291,9.4877072,3267
414,EWII Park (Odense),55.6503299,12.4170778,9932
415,HDS Arena,55.81619865,12.35303259,3305
416,Blue Water Arena,55.397745,10.35022493,7500
417,Telia Parken,55.7211638,12.3686863,11722
418,BioNutria Park Randers,55.48194305,8.438397123,7412
419,Aalborg Portland Park,55.70270425,12.57226378,7077
420,MCH Arena,56.46607165,10.01015413,10822
421,Ceres Park,57.05203525,9.898599342,10114
422,Right to Dream Park,56.1169164,8.951716477,2704
423,Energi Viborg Arena,56.1327356,10.196762,7747
424,EWII Park (Odense),55.81619865,12.35303259,7692
425,Sydbank Park,56.4559039,9.40202035,4204
426,HDS Arena,55.397745,10.35022493,2007
427,BioNutria Park Randers,55.2613291,9.4877072,5347
428,Brøndby Stadion,55.7211638,12.3686863,11376
429,Telia Parken,56.46607165,10.01015413,18837
430,Blue Water Arena,55.6503299,12.4170778,5256
431,Aalborg Portland Park,55.70270425,12.57226378,8041
432,Ceres Park,55.48194305,8.438397123,11321
433,Sydbank Park,57.05203525,9.898599342,4345
434,Aalborg Portland Park,56.1327356,10.196762,6188
435,Right to Dream Park,55.2613291,9.4877072,6455
436,EWII Park (Odense),57.05203525,9.898599342,10039
437,MCH Arena,55.81619865,12.35303259,6008
