index,season,date,matchday,referee,stadium_name,attendance,h_team,a_team,h_result,a_result,h_points,a_points,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,a_possession,h_possession,h_fouls,a_fouls,h_red,a_red,h_yellow,a_yellow,h_corners,a_corners,h_odds,draw_odds,a_odds,h_pre_xg,a_pre_xg,h_xg,a_xg,h_shots_on,a_shots_on,h_shots_off,a_shots_off
93,13-14,Nov 24 2013,16,N/A,Telia Parken,14227,København,Viborg,Won,Lost,3,0,4,1,3,1,8,5,0.5,0.5,11,5,0,0,3,1,3,3,1.42,4.86,8.34,0,0,0,0,4,2,4,3
94,13-14,Nov 24 2013,16,N/A,MCH Arena,10017,Midtjylland,Brøndby,Lost,Won,0,3,0,1,0,0,12,7,0.51,0.49,10,10,0,0,2,1,6,5,2.47,3.42,3.01,0,0,0,0,3,3,9,4
95,13-14,Nov 25 2013,16,N/A,Aalborg Portland Park,5561,AaB,Nordsjælland,Draw,Draw,1,1,1,1,1,1,5,15,0.59,0.41,10,10,0,0,1,2,1,6,2.03,3.59,3.9,0,0,0,0,4,8,1,7
96,13-14,Nov 29 2013,17,N/A,Harboe Arena Slagelse,3147,Vestsjælland,Midtjylland,Lost,Won,0,3,0,1,0,1,10,5,0.45,0.55,10,11,0,0,1,3,8,4,3.58,3.41,2.18,0,0,0,0,5,2,5,3
97,13-14,Nov 30 2013,17,N/A,Energi Viborg Arena,3478,Viborg,Sønderjyske,Draw,Draw,1,1,2,2,1,1,9,8,0.51,0.49,15,9,0,0,3,1,5,10,2.37,3.46,3.13,0,0,0,0,4,5,5,3
98,13-14,Dec 01 2013,17,N/A,Right to Dream Park,3726,Nordsjælland,Randers,Draw,Draw,1,1,1,1,1,1,19,4,0.37,0.63,7,12,0,0,2,2,6,4,1.86,3.68,4.51,0,0,0,0,10,2,9,2
99,13-14,Dec 01 2013,17,N/A,EWII Park (Odense),5728,OB,AGF,Won,Lost,3,0,4,1,2,0,20,12,0.49,0.51,13,5,0,0,2,1,5,1,0,0,0,0,0,0,0,12,5,8,7
100,13-14,Dec 01 2013,17,N/A,Brøndby Stadion,21624,Brøndby,København,Lost,Won,0,3,1,3,1,3,9,7,0.51,0.49,10,16,0,0,1,2,5,5,2.99,3.4,2.49,0,0,0,0,3,4,6,3
101,13-14,Dec 02 2013,17,N/A,Blue Water Arena,5013,Esbjerg,AaB,Draw,Draw,1,1,2,2,1,2,20,6,0.37,0.63,5,11,0,0,1,2,8,2,2.79,3.44,2.63,0,0,0,0,11,2,9,4
102,13-14,Dec 06 2013,18,N/A,Right to Dream Park,3413,Nordsjælland,OB,Won,Lost,3,0,2,0,1,0,10,11,0.42,0.58,8,7,0,0,0,0,4,5,2.08,3.64,3.65,0,0,0,0,5,6,5,5
103,13-14,Dec 07 2013,18,N/A,Telia Parken,11179,København,Vestsjælland,Won,Lost,3,0,1,0,0,0,11,6,0.5,0.5,6,8,0,0,2,2,2,2,1.36,5.16,9.77,0,0,0,0,4,3,7,3
104,13-14,Dec 08 2013,18,N/A,BioNutria Park Randers,4114,Randers,Esbjerg,Won,Lost,3,0,1,0,0,0,11,12,0.45,0.55,13,11,0,0,1,0,7,3,2.67,3.33,2.81,0,0,0,0,3,9,8,3
105,13-14,Dec 08 2013,18,N/A,MCH Arena,5149,Midtjylland,AGF,Won,Lost,3,0,3,0,3,0,12,5,0.44,0.56,15,9,1,0,2,3,3,3,1.93,3.69,4.13,0,0,0,0,7,3,5,2
106,13-14,Dec 08 2013,18,N/A,Sydbank Park,2572,Sønderjyske,Brøndby,Draw,Draw,1,1,1,1,1,1,10,3,0.53,0.47,10,10,0,0,2,2,4,5,4.25,3.57,1.94,0,0,0,0,3,0,7,3
107,13-14,Dec 09 2013,18,N/A,Aalborg Portland Park,7796,AaB,Viborg,Won,Lost,3,0,5,0,3,0,10,6,0.49,0.51,4,9,0,0,0,0,2,3,1.63,4.14,5.74,0,0,0,0,3,0,7,6
108,13-14,Feb 21 2014,19,N/A,Harboe Arena Slagelse,2454,Vestsjælland,Sønderjyske,Lost,Won,0,3,0,4,0,1,14,9,0.35,0.65,10,9,0,0,2,1,4,5,2.22,3.38,3.52,0,0,0,0,6,4,8,5
109,13-14,Feb 22 2014,19,N/A,EWII Park (Odense),7783,OB,Midtjylland,Won,Lost,3,0,2,1,1,1,6,13,0.49,0.51,16,19,0,0,1,1,4,2,2.92,3.45,2.51,0,0,0,0,3,7,3,6
