index,season,date,matchday,referee,stadium_name,attendance,h_team,a_team,h_result,a_result,h_points,a_points,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,a_possession,h_possession,h_fouls,a_fouls,h_red,a_red,h_yellow,a_yellow,h_corners,a_corners,h_odds,draw_odds,a_odds,h_pre_xg,a_pre_xg,h_xg,a_xg,h_shots_on,a_shots_on,h_shots_off,a_shots_off,gps
1794,21-22,Aug 22 2021,6,Michael Tykgaard,Brøndby Stadion (Brøndby),5095,Viborg,AGF,Won,Lost,3,0,2,0,2,0,20,18,0.53,0.47,11,16,0,0,4,2,8,4,2.05,3.15,2.08,2.03,1.37,2.28,"9,583,333",9,3,11,15,"[55.6480283, 12.4154952]"
1795,21-22,Aug 23 2021,6,Anders Poulsen,Nature Energy Park (Odense),,Nordsjælland,Vejle,Won,Lost,3,0,3,1,2,0,13,12,0.42,0.58,12,10,0,0,0,2,4,2,"9,097,222",3.08,4.04,1.08,1.17,"9,652,778",1.53,8,8,5,4,"[55.397745, 10.35022492586062]"
1796,21-22,Aug 27 2021,7,Aydin Uslu,Ceres Park & Arena (Århus),,AaB,Nordsjælland,Won,Lost,3,0,2,1,1,1,12,11,"4,236,111",0.39,14,12,0,0,2,1,4,5,2.15,3.35,3.25,"5,763,889",1.55,1.36,1.38,6,4,6,7,"[56.1316074, 10.19619137741853]"
1797,21-22,Aug 29 2021,7,Jens Maae,Vejle Stadion (Vejle),,Sønderjyske,Viborg,Draw,Draw,1,1,2,2,1,1,26.00.00,14,0.49,0.51,7,19,0,0,0,5,5,5,3.05,3.35,2.05,1.35,"9,652,778",2.48,"8,472,222",6,6,20,8,"[55.71372409999999, 9.556157838024756]"
1798,21-22,Aug 29 2021,7,Jakob Kehlet,MCH Arena (Herning),,Silkeborg,Randers,Won,Lost,3,0,2,1,1,0,12,18,0.49,0.51,4,3,0,0,0,1,0,4,2.55,3.05,2.55,"8,541,667",1.52,1.55,2.46,5,9,7,9,"[56.1169164, 8.951716477487706]"
1799,21-22,Aug 29 2021,7,Jonas Hansen,Nature Energy Park (Odense),,Vejle,København,Lost,Won,0,3,0,4,0,2,4,24.00.00,"5,069,444",0.27,11,8,0,0,1,2,1,4,7.25,"22,569,444",1.38,1.41,"9,305,556",0.57,"13,680,556",2,12,2,12,"[55.397745, 10.35022492586062]"
1800,21-22,Aug 29 2021,7,Morten Krogh,Cepheus Park Randers (Randers),,AGF,OB,Draw,Draw,1,1,2,2,2,1,12,15,"4,583,333",0.34,17,18,0,0,5,5,4,6,2.02,2.07,3.29,1.51,1.34,1.43,"8,611,111",5,5,7,10,"[56.46607165, 10.010154126188361]"
1801,21-22,Aug 29 2021,7,Sandi Putros,Parken (København),,Brøndby,Midtjylland,Won,Lost,3,0,2,0,0,0,10,18,0.53,0.47,11,14,0,0,0,2,4,3,3.01,3.45,2.02,1.37,"9,652,778",1.03,"9,930,556",6,6,4,12,"[55.70270425, 12.572263776860414]"
1802,21-22,Sep 10 2021,8,Mikkel Redder,Energi Viborg Arena (Viborg),,Midtjylland,Nordsjælland,Won,Lost,3,0,2,0,0,0,15,12,0.59,0.41,5,14,0,0,1,2,2,4,1.42,"22,569,444","30,208,333",2.29,1.49,"9,097,222",1.46,8,6,7,6,"[56.455903899999996, 9.402020349999999]"
1803,21-22,Sep 10 2021,8,Mads-Kristoffer Kristoffersen,Right to Dream Park (Farum),,Brøndby,Silkeborg,Draw,Draw,1,1,1,1,1,1,20,15,0.45,0.55,3,4,0,0,1,1,5,2,"10,208,333","17,013,889","18,402,778",1.34,875,2.05,"10,277,778",8,9,12,6,"[55.81619865, 12.353032590985052]"
