index,season,date,matchday,referee,stadium_name,attendance,h_team,a_team,h_result,a_result,h_points,a_points,h_goals,a_goals,h_ht_goals,a_ht_goals,a_possession,h_possession,h_fouls,a_fouls,h_red,a_red,h_yellow,a_yellow,h_corners,a_corners,h_odds,draw_odds,a_odds,h_pre_xg,a_pre_xg,h_xg,a_xg,h_shots_on,a_shots_on,h_shots_off,a_shots_off,h_total_shots,a_total_shots,gps,lon,lat,reg,city
1832,21-22,Oct 22 2021,13,Jonas Hansen,Vejle Stadion (Vejle),1,Vejle,Nordsjaelland,Won,Lost,3,0,2,0,2,0,62,38,11,12,0,0,3,1,4,7,3.15,3.75,2.14,1.32,1.58,1.78,1.31,10,3,4,8,14,11,"[55.71372409999999, 9.556157838024756, 'Region Syddanmark']",55.7137241,9.556157838,Region Syddanmark,Vejle
1833,21-22,Oct 24 2021,13,Peter KjÂaersgaard-Andersen,Brondby Stadion (Brondby),1,Brondby,Kobenhavn,Won,Lost,3,0,2,1,1,0,52,48,9,9,0,0,3,3,6,1,3.19,3.56,2.12,1.71,1.74,1.21,1.51,3,6,7,6,10,12,"[55.6480283, 12.4154952, 'Region Hovedstaden']",55.6480283,12.4154952,Region Hovedstaden,Brondby Kommune
1834,21-22,Oct 24 2021,13,Sandi Putros,JYSK park (Silkeborg),1,Silkeborg,OB,Draw,Draw,1,1,1,1,0,0,40,60,8,7,0,0,3,0,6,6,2.24,3.5,3.01,1.55,1.35,1.96,1.5,6,3,11,12,17,15,"[56.184187, 9.5751522579733, 'Region Midtjylland']",56.184187,9.575152258,Region Midtjylland,Silkeborg
1835,21-22,Oct 24 2021,13,Morten Krogh,Cepheus Park Randers (Randers),1,Randers,AGF,Won,Lost,3,0,1,0,1,0,42,58,11,15,0,0,3,5,8,1,2.31,3.23,3.09,1.62,1.36,2.25,1.27,5,4,16,7,21,11,"[56.46607165, 10.010154126188361, 'Region Midtjylland']",56.46607165,10.01015413,Region Midtjylland,Randers
1836,21-22,Oct 24 2021,13,Jakob Kehlet,MCH Arena (Herning),1,Midtjylland,Sonderjyske,Won,Lost,3,0,3,2,1,1,38,62,13,11,0,0,0,1,14,3,1.43,4.54,7.1,1.85,1.47,2.53,1.92,8,8,16,8,24,16,"[56.1169164, 8.951716477487706, 'Region Midtjylland']",56.1169164,8.951716477,Region Midtjylland,Herning
1837,21-22,Oct 25 2021,13,Michael Tykgaard,Aalborg Portland Park (Aalborg),1,AaB,Viborg,Lost,Won,0,3,2,5,1,2,46,54,5,15,0,0,0,0,5,4,2.08,3.64,3.42,1.53,1.62,1.4,2.17,4,9,9,12,13,21,"[57.05203525, 9.898599342025985, 'Region Nordjylland']",57.05203525,9.898599342,Region Nordjylland,Aalborg
1838,21-22,Oct 31 2021,14,Anders Poulsen,Right to Dream Park (Farum),1,Nordsjaelland,AaB,Lost,Won,0,3,0,2,0,1,41,59,7,6,0,0,3,1,9,5,3.05,3.5,2.19,1.66,1.51,1.41,0.99,3,4,8,3,11,7,"[55.81619865, 12.353032590985052, 'Region Hovedstaden']",55.81619865,12.35303259,Region Hovedstaden,Farum
1839,21-22,Oct 31 2021,14,Jakob A. Sundberg,Cepheus Park Randers (Randers),1,Randers,Midtjylland,Lost,Won,0,3,1,3,0,2,49,51,15,10,0,0,3,4,3,4,3.3,3.35,2.12,1.71,1.6,1.53,1.47,7,7,3,5,10,12,"[56.46607165, 10.010154126188361, 'Region Midtjylland']",56.46607165,10.01015413,Region Midtjylland,Randers
1840,21-22,Oct 31 2021,14,Aydin Uslu,Parken (Kobenhavn),18942,Kobenhavn,Vejle,Won,Lost,3,0,3,0,2,0,47,53,11,10,0,0,2,3,3,4,1.22,5.5,12,1.82,1.43,1.62,0.97,6,4,8,2,14,6,"[55.70270425, 12.572263776860414, 'Region Hovedstaden']",55.70270425,12.57226378,Region Hovedstaden,Kobenhavn
1841,21-22,Oct 31 2021,14,JÂorgen Daugbjerg Burchardt,Energi Viborg Arena (Viborg),1,Viborg,Brondby,Lost,Won,0,3,0,1,0,0,59,41,13,12,0,0,2,2,2,3,2.6,3.3,2.5,2.01,1.53,1.32,2.04,4,9,7,7,11,16,"[56.455903899999996, 9.402020349999999, 'Region Midtjylland']",56.4559039,9.40202035,Region Midtjylland,Viborg
1842,21-22,Oct 31 2021,14,Jens Maae,Sydbank Park (Haderslev),1,Sonderjyske,Silkeborg,Lost,Won,0,3,0,6,0,1,57,43,8,7,0,0,2,0,4,6,2.9,3.25,2.3,1.6,1.82,0.73,2.27,0,10,6,9,6,19,"[55.2613291, 9.487707200000001, 'Region Syddanmark']",55.2613291,9.4877072,Region Syddanmark,Haderslev
1843,21-22,Nov 01 2021,14,Mikkel Redder,Nature Energy Park (Odense),1,OB,AGF,Draw,Draw,1,1,0,0,0,0,41,59,13,10,0,0,1,1,4,4,2.3,3.2,2.9,1.84,1.35,1.75,1.37,5,3,11,12,16,15,"[55.397745, 10.35022492586062, 'Region Syddanmark']",55.397745,10.35022493,Region Syddanmark,Odense
