index,season,date,matchday,referee,stadium_name,attendance,h_team,a_team,h_result,a_result,h_points,a_points,h_goals,a_goals,h_ht_goals,a_ht_goals,a_possession,h_possession,h_fouls,a_fouls,h_red,a_red,h_yellow,a_yellow,h_corners,a_corners,h_odds,draw_odds,a_odds,h_pre_xg,a_pre_xg,h_xg,a_xg,h_shots_on,a_shots_on,h_shots_off,a_shots_off,h_total_shots,a_total_shots,gps,lon,lat,reg,city
1314,18-19,May 13 2019,34,Morten Krogh,Brondby Stadion,9251,Brondby,Nordsjaelland,Won,Lost,3,0,2,0,2,0,55,45,9,10,0,0,1,0,3,6,2.15,3.9,2.9,1.72,1.29,1.55,1.2,6,4,5,3,11,7,"[55.6480283, 12.4154952, 'Region Hovedstaden']",55.6480283,12.4154952,Region Hovedstaden,Brondby Kommune
1315,18-19,May 18 2019,35,Mads-Kristoffer Kristoffersen,Cepheus Park Randers (Randers),7216,Randers,AGF,Won,Lost,3,0,2,1,2,1,54,46,13,14,0,0,3,2,4,4,2.65,3.05,2.75,1.34,1.13,1.8,1.02,8,3,4,5,12,8,"[56.46607165, 10.010154126188361, 'Region Midtjylland']",56.46607165,10.01015413,Region Midtjylland,Randers
1316,18-19,May 19 2019,35,Anders Poulsen,Right to Dream Park,4365,Nordsjaelland,OB,Draw,Draw,1,1,2,2,1,2,48,52,7,9,0,0,3,0,5,7,2.95,3.7,2.2,1.75,1.44,1.3,2.15,4,11,5,6,9,17,"[55.81619865, 12.353032590985052, 'Region Hovedstaden']",55.81619865,12.35303259,Region Hovedstaden,Farum
1317,18-19,May 19 2019,35,Sandi Putros,Blue Water Arena,8319,Esbjerg,Kobenhavn,Won,Lost,3,0,4,3,2,0,63,37,10,11,0,0,2,4,4,3,2.8,3.5,2.4,1.33,1.53,1.91,1.32,10,5,5,3,15,8,"[55.48194305, 8.438397123328269, 'Region Syddanmark']",55.48194305,8.438397123,Region Syddanmark,Esbjerg
1318,18-19,May 20 2019,35,Jakob Kehlet,Brondby Stadion,7468,Brondby,Midtjylland,Won,Lost,3,0,4,1,2,1,39,61,11,11,0,0,2,1,8,8,1.87,4.35,3.4,1.71,1.41,1.55,1.59,8,6,1,6,9,12,"[55.6480283, 12.4154952, 'Region Hovedstaden']",55.6480283,12.4154952,Region Hovedstaden,Brondby Kommune
1319,18-19,May 25 2019,36,Michael Johansen,Telia Parken,26164,Kobenhavn,Nordsjaelland,Lost,Won,0,3,1,3,0,1,47,53,6,13,0,0,1,2,6,6,1.4,5.25,6.15,1.77,1.29,1.78,1.32,8,6,6,3,14,9,"[55.70270425, 12.572263776860414, 'Region Hovedstaden']",55.70270425,12.57226378,Region Hovedstaden,Kobenhavn
1320,18-19,May 25 2019,36,JÂorgen Daugbjerg Burchardt,MCH Arena,8291,Midtjylland,Esbjerg,Lost,Won,0,3,1,2,1,2,45,55,14,12,0,0,2,3,3,2,1.95,3.9,3.4,1.77,1.11,0.99,1,2,3,5,4,7,7,"[56.1169164, 8.951716477487706, 'Region Midtjylland']",56.1169164,8.951716477,Region Midtjylland,Herning
1321,18-19,May 25 2019,36,Mads-Kristoffer Kristoffersen,Nature Energy Park,14246,OB,Brondby,Lost,Won,0,3,0,2,0,1,31,69,8,11,0,1,3,4,6,2,2.25,3.7,2.85,1.5,1.63,1.62,0.63,5,3,11,2,16,5,"[55.397745, 10.35022492586062, 'Region Syddanmark']",55.397745,10.35022493,Region Syddanmark,Odense
1322,18-19,May 26 2019,36,Jens Maae,Ceres Park,12310,AGF,Randers,Draw,Draw,1,1,1,1,0,0,44,56,9,9,0,0,2,2,6,4,2.05,3.45,3.45,1.52,1.3,1.25,1.64,4,7,5,5,9,12,"[56.1327356, 10.196762, 'Region Midtjylland']",56.1327356,10.196762,Region Midtjylland,Aarhus
1323,18-19,May 31 2019,36,Michael Tykgaard,Brondby Stadion (Brondby),16773,Brondby,Randers,Won,Lost,3,0,4,2,0,1,45,55,8,8,0,0,4,4,12,6,1.77,3.75,4.25,1.7,1.32,2.1,1.01,8,3,10,5,18,8,"[55.6480283, 12.4154952, 'Region Hovedstaden']",55.6480283,12.4154952,Region Hovedstaden,Brondby Kommune
1324,19-20,Jul 12 2019,1,Anders Poulsen,MCH Arena (Herning),7310,Midtjylland,Esbjerg,Won,Lost,3,0,1,0,0,0,45,55,16,12,0,0,1,2,6,5,1.53,4.3,5.7,0,0,1.71,1.07,6,4,6,4,12,8,"[56.1169164, 8.951716477487706, 'Region Midtjylland']",56.1169164,8.951716477,Region Midtjylland,Herning
1325,19-20,Jul 14 2019,1,Mikkel Redder,Sydbank Park (Haderslev),4734,Sonderjyske,Randers,Won,Lost,3,0,2,1,1,0,45,55,11,17,0,0,0,4,3,0,2.2,3.35,3.25,0,0,1.46,1.16,7,4,5,4,12,8,"[55.2613291, 9.487707200000001, 'Region Syddanmark']",55.2613291,9.4877072,Region Syddanmark,Haderslev
1326,19-20,Jul 14 2019,1,Morten Krogh,CASA Arena Horsens (Horsens),1653,Horsens,Nordsjaelland,Lost,Won,0,3,0,3,0,1,60,40,13,10,0,0,2,0,4,5,2.65,3.35,2.6,0,0,1,2.02,3,11,4,3,7,14,"[55.87177805, 9.8575207272862, 'Region Midtjylland']",55.87177805,9.857520727,Region Midtjylland,Horsens
1327,19-20,Jul 14 2019,1,JÂorgen Daugbjerg Burchardt,Lyngby Stadion (Lyngby),2971,Lyngby,AaB,Won,Lost,3,0,2,0,1,0,60,40,17,12,0,0,1,2,1,9,3.2,3.55,2.15,0,0,1.39,1.61,7,8,4,3,11,11,"[55.7813228, 12.505714505112913, 'Region Hovedstaden']",55.7813228,12.50571451,Region Hovedstaden,Kongens Lyngby
1328,19-20,Jul 14 2019,1,Michael Tykgaard,Nature Energy Park (Odense),9067,OB,Kobenhavn,Lost,Won,0,3,2,3,2,1,59,41,11,11,0,0,2,2,7,2,3.45,3.45,2.05,0,0,2.11,1.67,10,7,7,7,17,14,"[55.397745, 10.35022492586062, 'Region Syddanmark']",55.397745,10.35022493,Region Syddanmark,Odense
1329,19-20,Jul 14 2019,1,Mads-Kristoffer Kristoffersen,Brondby Stadion (Brondby),13056,Brondby,Silkeborg,Won,Lost,3,0,3,0,2,0,40,60,9,5,0,0,0,1,6,1,1.43,4.65,6.45,0,0,2.09,0.77,8,3,8,2,16,5,"[55.6480283, 12.4154952, 'Region Hovedstaden']",55.6480283,12.4154952,Region Hovedstaden,Brondby Kommune
1330,19-20,Jul 15 2019,1,Peter KjÂaersgaard-Andersen,DS Arena (Hobro),4236,Hobro,AGF,Draw,Draw,1,1,1,1,0,0,67,33,10,7,0,0,2,3,4,4,3.6,3.35,2.05,0,0,1.15,1.85,3,5,7,10,10,15,"[56.633153750000005, 9.817017587976746, 'Region Nordjylland']",56.63315375,9.817017588,Region Nordjylland,Hobro
1331,19-20,Jul 19 2019,2,Anders Poulsen,Telia Parken (Kobenhavn),16053,Kobenhavn,AGF,Won,Lost,3,0,2,1,1,0,51,49,13,20,0,0,2,2,5,4,1.43,5.2,7.35,0,1.85,1.33,1.05,6,3,5,5,11,8,"[55.70270425, 12.572263776860414, 'Region Hovedstaden']",55.70270425,12.57226378,Region Hovedstaden,Kobenhavn
1332,19-20,Jul 21 2019,2,Sandi Putros,JYSK park (Silkeborg),3535,Silkeborg,Horsens,Lost,Won,0,3,0,3,0,2,39,61,6,7,0,0,2,0,12,10,2.1,3.55,3.2,0,0,1.18,2.2,2,11,6,6,8,17,"[56.184187, 9.5751522579733, 'Region Midtjylland']",56.184187,9.575152258,Region Midtjylland,Silkeborg
1333,19-20,Jul 21 2019,2,Jakob Kehlet,Aalborg Portland Park (Aalborg),4355,AaB,Sonderjyske,Draw,Draw,1,1,1,1,0,0,48,52,11,14,0,0,3,2,8,3,2.45,3.4,2.75,0,0,1.75,1.04,6,4,8,4,14,8,"[57.05203525, 9.898599342025985, 'Region Nordjylland']",57.05203525,9.898599342,Region Nordjylland,Aalborg
1334,19-20,Jul 21 2019,2,JÂorgen Daugbjerg Burchardt,Blue Water Arena (Esbjerg),4452,Esbjerg,Hobro,Draw,Draw,1,1,1,1,1,0,46,54,13,17,0,0,2,3,5,3,1.8,3.5,4.5,0,0,1.83,0.92,10,4,2,2,12,6,"[55.48194305, 8.438397123328269, 'Region Syddanmark']",55.48194305,8.438397123,Region Syddanmark,Esbjerg
1335,19-20,Jul 21 2019,2,Michael Tykgaard,Cepheus Park Randers (Randers),5984,Randers,Brondby,Draw,Draw,1,1,2,2,1,1,69,31,7,6,0,1,2,1,2,6,1.71,3.75,4.3,0,0,1.41,1.75,6,5,7,10,13,15,"[56.46607165, 10.010154126188361, 'Region Midtjylland']",56.46607165,10.01015413,Region Midtjylland,Randers
1336,19-20,Jul 21 2019,2,Jens Maae,MCH Arena (Herning),6142,Midtjylland,Nordsjaelland,Won,Lost,3,0,2,1,1,1,61,39,6,11,0,0,2,4,5,9,1.59,4.25,5.05,1.71,2.02,2.02,1.01,9,2,8,6,17,8,"[56.1169164, 8.951716477487706, 'Region Midtjylland']",56.1169164,8.951716477,Region Midtjylland,Herning
1337,19-20,Jul 22 2019,2,Morten Krogh,Nature Energy Park (Odense),6339,OB,Lyngby,Won,Lost,3,0,4,1,1,1,32,68,10,12,0,0,4,4,5,1,1.48,4.55,6,2.11,0,1.78,0.7,8,3,4,2,12,5,"[55.397745, 10.35022492586062, 'Region Syddanmark']",55.397745,10.35022493,Region Syddanmark,Odense
1338,19-20,Jul 26 2019,3,Benjamin Willaume-Jantzen,Lyngby Stadion (Lyngby),3168,Lyngby,Sonderjyske,Lost,Won,0,3,0,3,0,0,49,51,10,15,0,0,2,2,5,3,3.25,3.65,2.05,1.39,1.04,0.99,2.01,2,9,6,7,8,16,"[55.7813228, 12.505714505112913, 'Region Hovedstaden']",55.7813228,12.50571451,Region Hovedstaden,Kongens Lyngby
1339,19-20,Jul 27 2019,3,Jakob Kehlet,CASA Arena Horsens (Horsens),3565,Horsens,Kobenhavn,Lost,Won,0,3,0,2,0,0,69,31,10,7,0,0,3,0,2,10,6.45,4.45,1.45,1,1.67,0.97,1.59,2,6,6,7,8,13,"[55.87177805, 9.8575207272862, 'Region Midtjylland']",55.87177805,9.857520727,Region Midtjylland,Horsens
1340,19-20,Jul 28 2019,3,Jakob A. Sundberg,DS Arena (Hobro),2812,Hobro,Randers,Draw,Draw,1,1,2,2,1,1,45,55,7,13,0,1,1,1,2,4,3.65,3.25,2.05,1.15,1.16,1.39,1.34,5,6,7,3,12,9,"[56.633153750000005, 9.817017587976746, 'Region Nordjylland']",56.63315375,9.817017588,Region Nordjylland,Hobro
1341,19-20,Jul 28 2019,3,Sandi Putros,Right to Dream Park (Farum),1982,Nordsjaelland,Esbjerg,Won,Lost,3,0,2,0,0,0,39,61,15,8,0,0,2,0,8,3,1.77,3.85,4.15,0,1.07,1.13,1.51,4,6,3,6,7,12,"[55.81619865, 12.353032590985052, 'Region Hovedstaden']",55.81619865,12.35303259,Region Hovedstaden,Farum
1342,19-20,Jul 28 2019,3,Mads-Kristoffer Kristoffersen,Ceres Park (Aarhus),11739,AGF,Midtjylland,Lost,Won,0,3,0,1,0,0,43,57,10,16,0,0,3,5,7,3,3,3.35,2.3,0,0,1.37,1.08,5,4,6,3,11,7,"[56.1327356, 10.196762, 'Region Midtjylland']",56.1327356,10.196762,Region Midtjylland,Aarhus
1343,19-20,Jul 28 2019,3,Peter KjÂaersgaard-Andersen,Brondby Stadion (Brondby),13689,Brondby,OB,Won,Lost,3,0,3,2,1,1,42,58,8,7,0,0,2,2,3,1,2.35,3.5,2.85,2.09,0,1.95,1.14,9,6,5,1,14,7,"[55.6480283, 12.4154952, 'Region Hovedstaden']",55.6480283,12.4154952,Region Hovedstaden,Brondby Kommune
1344,19-20,Jul 29 2019,3,Jens Maae,Aalborg Portland Park (Aalborg),5885,AaB,Silkeborg,Won,Lost,3,0,3,1,3,0,58,42,7,12,0,0,1,2,3,7,1.59,4.15,5.2,1.75,0.77,1.51,0.79,7,3,5,2,12,5,"[57.05203525, 9.898599342025985, 'Region Nordjylland']",57.05203525,9.898599342,Region Nordjylland,Aalborg
1345,19-20,Aug 02 2019,4,Mikkel Redder,JYSK park (Silkeborg),3468,Silkeborg,Hobro,Lost,Won,0,3,2,3,1,1,42,58,10,5,0,0,0,3,6,4,2.5,3.4,2.65,1.18,0.92,1.75,1.18,6,5,8,4,14,9,"[56.184187, 9.5751522579733, 'Region Midtjylland']",56.184187,9.575152258,Region Midtjylland,Silkeborg
1346,19-20,Aug 03 2019,4,Peter KjÂaersgaard-Andersen,Sydbank Park (Haderslev),7417,Sonderjyske,Kobenhavn,Lost,Won,0,3,1,2,0,1,53,47,22,13,0,0,4,3,4,3,3.55,3.5,2,1.46,1.63,1.03,1.5,3,5,5,8,8,13,"[55.2613291, 9.487707200000001, 'Region Syddanmark']",55.2613291,9.4877072,Region Syddanmark,Haderslev
1347,19-20,Aug 04 2019,4,Aydin Uslu,Cepheus Park Randers (Randers),3111,Randers,Nordsjaelland,Won,Lost,3,0,3,1,3,0,65,35,15,8,0,0,1,2,6,10,2.4,3.4,2.85,1.41,1.52,1.65,1.82,9,7,4,6,13,13,"[56.46607165, 10.010154126188361, 'Region Midtjylland']",56.46607165,10.01015413,Region Midtjylland,Randers
1348,19-20,Aug 04 2019,4,Benjamin Willaume-Jantzen,Blue Water Arena (Esbjerg),4454,Esbjerg,OB,Lost,Won,0,3,0,1,0,0,55,45,12,17,0,0,5,4,4,2,3.25,3.45,2.15,1.83,1.14,1.26,0.73,5,2,4,2,9,4,"[55.48194305, 8.438397123328269, 'Region Syddanmark']",55.48194305,8.438397123,Region Syddanmark,Esbjerg
1349,19-20,Aug 04 2019,4,Anders Poulsen,Brondby Stadion (Brondby),15148,Brondby,Horsens,Lost,Won,0,3,1,2,1,1,38,62,9,8,0,0,3,3,9,7,1.39,4.95,6.85,2.02,2.2,1.41,1.68,5,6,6,6,11,12,"[55.6480283, 12.4154952, 'Region Hovedstaden']",55.6480283,12.4154952,Region Hovedstaden,Brondby Kommune
1350,19-20,Aug 04 2019,4,Morten Krogh,MCH Arena (Herning),7965,Midtjylland,AaB,Won,Lost,3,0,1,0,0,0,47,53,12,11,1,0,2,1,4,7,1.53,4.2,5.95,1.87,1.61,1.23,1.2,3,6,8,2,11,8,"[56.1169164, 8.951716477487706, 'Region Midtjylland']",56.1169164,8.951716477,Region Midtjylland,Herning
1351,19-20,Aug 05 2019,4,Jens Maae,Lyngby Stadion (Lyngby),5475,Lyngby,AGF,Won,Lost,3,0,2,1,0,1,58,42,12,13,0,0,2,2,2,6,3.9,3.85,1.83,1.19,1.45,1.31,1.25,6,4,5,3,11,7,"[55.7813228, 12.505714505112913, 'Region Hovedstaden']",55.7813228,12.50571451,Region Hovedstaden,Kongens Lyngby
1352,19-20,Aug 09 2019,5,Sandi Putros,Telia Parken (Kobenhavn),15747,Kobenhavn,Lyngby,Won,Lost,3,0,2,0,0,0,42,58,9,11,0,0,1,5,9,5,1.26,5.8,10.25,1.33,0.7,1.79,0.71,7,2,7,2,14,4,"[55.70270425, 12.572263776860414, 'Region Hovedstaden']",55.70270425,12.57226378,Region Hovedstaden,Kobenhavn
1353,19-20,Aug 09 2019,5,Jakob Kehlet,Nature Energy Park (Odense),6978,OB,Randers,Won,Lost,3,0,1,0,0,0,46,54,16,12,0,0,2,1,8,3,1.83,3.65,4.05,1.95,1.25,1.32,1.52,6,5,2,9,8,14,"[55.397745, 10.35022492586062, 'Region Syddanmark']",55.397745,10.35022493,Region Syddanmark,Odense
1354,19-20,Aug 11 2019,5,JÂorgen Daugbjerg Burchardt,Right to Dream Park (Farum),2030,Nordsjaelland,Silkeborg,Draw,Draw,1,1,2,2,0,2,45,55,12,7,1,0,0,2,13,3,1.43,4.85,6.05,1.13,0.78,2.16,1.16,8,6,8,3,16,9,"[55.81619865, 12.353032590985052, 'Region Hovedstaden']",55.81619865,12.35303259,Region Hovedstaden,Farum
1355,19-20,Aug 11 2019,5,Peter KjÂaersgaard-Andersen,Aalborg Portland Park (Aalborg),4380,AaB,Esbjerg,Won,Lost,3,0,4,0,4,0,50,50,15,12,0,0,1,4,6,4,2.15,3.2,3.45,1.63,1.29,1.6,0.73,8,0,3,7,11,7,"[57.05203525, 9.898599342025985, 'Region Nordjylland']",57.05203525,9.898599342,Region Nordjylland,Aalborg
1356,19-20,Aug 11 2019,5,Michael Tykgaard,CASA Arena Horsens (Horsens),3179,Horsens,Midtjylland,Lost,Won,0,3,0,2,0,1,55,45,10,22,0,0,1,3,4,7,3.6,3.75,1.91,0.99,1.08,1.37,1.39,5,7,5,1,10,8,"[55.87177805, 9.8575207272862, 'Region Midtjylland']",55.87177805,9.857520727,Region Midtjylland,Horsens
1357,19-20,Aug 11 2019,5,Mads-Kristoffer Kristoffersen,DS Arena (Hobro),4186,Hobro,Brondby,Lost,Won,0,3,0,2,0,0,63,37,9,9,0,1,1,2,6,5,4,3.85,1.8,1.27,1.75,1.2,1.39,3,6,6,3,9,9,"[56.633153750000005, 9.817017587976746, 'Region Nordjylland']",56.63315375,9.817017588,Region Nordjylland,Hobro
1358,19-20,Aug 12 2019,5,Morten Krogh,Sydbank Park (Haderslev),5160,Sonderjyske,AGF,Draw,Draw,1,1,0,0,0,0,51,49,12,13,0,1,0,2,7,2,2.2,3.45,3.1,1.24,1.38,1.64,0.77,7,0,5,7,12,7,"[55.2613291, 9.487707200000001, 'Region Syddanmark']",55.2613291,9.4877072,Region Syddanmark,Haderslev
1359,19-20,Aug 16 2019,6,Mads-Kristoffer Kristoffersen,Cepheus Park Randers (Randers),5118,Randers,Kobenhavn,Lost,Won,0,3,0,1,0,0,65,35,19,9,0,0,2,2,5,7,3.6,3.75,1.95,1.53,1.59,0.87,2.23,0,10,9,6,9,16,"[56.46607165, 10.010154126188361, 'Region Midtjylland']",56.46607165,10.01015413,Region Midtjylland,Randers
1360,19-20,Aug 16 2019,6,Mikkel Redder,Right to Dream Park (Farum),2107,Nordsjaelland,OB,Won,Lost,3,0,2,0,1,0,49,51,5,4,0,0,3,1,3,11,2.5,3.55,2.6,1.65,0.93,0.85,2,3,6,3,12,6,18,"[55.81619865, 12.353032590985052, 'Region Hovedstaden']",55.81619865,12.35303259,Region Hovedstaden,Farum
1361,19-20,Aug 18 2019,6,Michael Tykgaard,JYSK park (Silkeborg),3277,Silkeborg,Sonderjyske,Draw,Draw,1,1,3,3,1,0,55,45,9,7,0,0,1,2,7,7,3.45,3.95,1.91,1.47,1.52,1.38,1.67,5,6,6,5,11,11,"[56.184187, 9.5751522579733, 'Region Midtjylland']",56.184187,9.575152258,Region Midtjylland,Silkeborg
1362,19-20,Aug 18 2019,6,Sandi Putros,Blue Water Arena (Esbjerg),3396,Esbjerg,Lyngby,Won,Lost,3,0,1,0,1,0,63,37,10,9,1,0,2,2,3,4,1.74,3.8,4.45,1.54,0.71,1.26,1.44,6,3,4,8,10,11,"[55.48194305, 8.438397123328269, 'Region Syddanmark']",55.48194305,8.438397123,Region Syddanmark,Esbjerg
1363,19-20,Aug 18 2019,6,Jakob Kehlet,MCH Arena (Herning),6978,Midtjylland,Hobro,Draw,Draw,1,1,1,1,0,0,33,67,13,12,0,0,2,1,7,6,1.34,5,8.25,1.65,1.05,1.25,1.11,3,6,5,1,8,7,"[56.1169164, 8.951716477487706, 'Region Midtjylland']",56.1169164,8.951716477,Region Midtjylland,Herning
1364,19-20,Aug 18 2019,6,Jens Maae,Brondby Stadion (Brondby),11349,Brondby,AaB,Won,Lost,3,0,2,1,1,0,58,42,10,5,0,0,1,1,4,8,2.1,3.5,3.25,1.82,1.4,1.41,1.5,4,6,9,5,13,11,"[55.6480283, 12.4154952, 'Region Hovedstaden']",55.6480283,12.4154952,Region Hovedstaden,Brondby Kommune
1365,19-20,Aug 19 2019,6,JÂorgen Daugbjerg Burchardt,Ceres Park (Aarhus),7162,AGF,Horsens,Won,Lost,3,0,2,0,1,0,47,53,10,11,0,0,2,1,6,4,1.83,3.6,4.1,1.37,1.94,1.9,0.93,10,2,2,5,12,7,"[56.1327356, 10.196762, 'Region Midtjylland']",56.1327356,10.196762,Region Midtjylland,Aarhus
1366,19-20,Aug 23 2019,7,Morten Krogh,DS Arena (Hobro),2274,Hobro,OB,Draw,Draw,1,1,0,0,0,0,62,38,11,11,0,0,3,4,4,3,3.8,3.55,1.91,1.25,1.29,0.72,1.5,0,4,5,6,5,10,"[56.633153750000005, 9.817017587976746, 'Region Nordjylland']",56.63315375,9.817017588,Region Nordjylland,Hobro
1367,19-20,Aug 25 2019,7,Anders Poulsen,Lyngby Stadion (Lyngby),3226,Lyngby,Randers,Won,Lost,3,0,2,0,1,0,53,47,5,16,0,0,0,2,5,4,3.05,3.5,2.2,1.23,1.34,1.21,1.95,4,4,6,16,10,20,"[55.7813228, 12.505714505112913, 'Region Hovedstaden']",55.7813228,12.50571451,Region Hovedstaden,Kongens Lyngby
1368,19-20,Aug 25 2019,7,Jakob A. Sundberg,Blue Water Arena (Esbjerg),3849,Esbjerg,Silkeborg,Draw,Draw,1,1,2,2,1,1,54,46,6,8,0,0,2,2,6,5,1.77,3.85,4.25,1.45,0.9,1.58,1.04,8,3,2,6,10,9,"[55.48194305, 8.438397123328269, 'Region Syddanmark']",55.48194305,8.438397123,Region Syddanmark,Esbjerg
1369,19-20,Aug 25 2019,7,Peter KjÂaersgaard-Andersen,Sydbank Park (Haderslev),5028,Sonderjyske,Midtjylland,Lost,Won,0,3,0,2,0,1,64,36,13,16,0,0,3,2,5,8,3.3,3.55,2.1,1.38,1.24,0.63,2.1,0,8,5,11,5,19,"[55.2613291, 9.487707200000001, 'Region Syddanmark']",55.2613291,9.4877072,Region Syddanmark,Haderslev
1370,19-20,Aug 25 2019,7,Mads-Kristoffer Kristoffersen,Brondby Stadion (Brondby),14145,Brondby,AGF,Lost,Won,0,3,0,3,0,0,36,64,10,7,0,0,2,3,8,3,1.91,3.75,3.6,1.71,1.23,1.28,1.56,3,4,8,11,11,15,"[55.6480283, 12.4154952, 'Region Hovedstaden']",55.6480283,12.4154952,Region Hovedstaden,Brondby Kommune
1371,19-20,Aug 25 2019,7,JÂorgen Daugbjerg Burchardt,Telia Parken (Kobenhavn),11316,Kobenhavn,Nordsjaelland,Won,Lost,3,0,3,1,1,1,37,63,7,9,0,0,1,2,3,7,1.65,3.95,4.9,1.56,1.62,1.79,1.65,6,8,8,5,14,13,"[55.70270425, 12.572263776860414, 'Region Hovedstaden']",55.70270425,12.57226378,Region Hovedstaden,Kobenhavn
1372,19-20,Aug 26 2019,7,Benjamin Willaume-Jantzen,CASA Arena Horsens (Horsens),2709,Horsens,AaB,Lost,Won,0,3,0,5,0,2,61,39,11,9,0,0,2,3,3,7,3.25,3.35,2.15,1.11,1.43,0.94,1.69,4,7,2,6,6,13,"[55.87177805, 9.8575207272862, 'Region Midtjylland']",55.87177805,9.857520727,Region Midtjylland,Horsens
1373,19-20,Aug 30 2019,8,Sandi Putros,Nature Energy Park (Odense),7337,OB,Sonderjyske,Draw,Draw,1,1,0,0,0,0,39,61,8,11,0,1,1,5,5,0,1.83,3.8,3.85,1.74,1.57,1.98,1,3,5,15,2,18,7,"[55.397745, 10.35022492586062, 'Region Syddanmark']",55.397745,10.35022493,Region Syddanmark,Odense
1374,19-20,Aug 31 2019,8,Michael Tykgaard,Right to Dream Park (Farum),2529,Nordsjaelland,Hobro,Won,Lost,3,0,2,1,2,1,39,61,6,9,0,0,0,3,6,3,1.48,4.4,6.1,1.38,1.07,2.05,1.11,7,4,12,4,19,8,"[55.81619865, 12.353032590985052, 'Region Hovedstaden']",55.81619865,12.35303259,Region Hovedstaden,Farum
1375,19-20,Sep 01 2019,8,Jens Maae,Ceres Park (Aarhus),10420,AGF,Esbjerg,Won,Lost,3,0,1,0,1,0,50,50,9,13,0,0,1,3,3,7,2.05,3.3,3.6,1.64,1.1,1.22,1.23,4,4,5,6,9,10,"[56.1327356, 10.196762, 'Region Midtjylland']",56.1327356,10.196762,Region Midtjylland,Aarhus
1376,19-20,Sep 01 2019,8,Mikkel Redder,Cepheus Park Randers (Randers),4021,Randers,Silkeborg,Won,Lost,3,0,2,0,1,0,50,50,7,6,0,0,1,1,6,2,1.8,3.75,4.2,1.31,0.94,2.03,0.86,7,2,12,4,19,6,"[56.46607165, 10.010154126188361, 'Region Midtjylland']",56.46607165,10.01015413,Region Midtjylland,Randers
1377,19-20,Sep 01 2019,8,Aydin Uslu,CASA Arena Horsens (Horsens),1234,Horsens,Lyngby,Won,Lost,3,0,2,1,0,1,55,45,12,12,0,0,1,2,12,2,2.25,3.3,3.15,1.07,0.95,1.68,0.62,5,2,8,2,13,4,"[55.87177805, 9.8575207272862, 'Region Midtjylland']",55.87177805,9.857520727,Region Midtjylland,Horsens
1378,19-20,Sep 01 2019,8,Jakob Kehlet,Aalborg Portland Park (Aalborg),11645,AaB,Kobenhavn,Won,Lost,3,0,1,0,1,0,66,34,16,13,0,0,4,1,2,1,3.1,3.35,2.25,1.62,1.75,1.31,1.53,6,5,4,7,10,12,"[57.05203525, 9.898599342025985, 'Region Nordjylland']",57.05203525,9.898599342,Region Nordjylland,Aalborg
1379,19-20,Sep 01 2019,8,JÂorgen Daugbjerg Burchardt,MCH Arena (Herning),10944,Midtjylland,Brondby,Won,Lost,3,0,1,0,1,0,44,56,10,8,0,0,2,1,5,3,1.77,4,3.95,1.55,1.57,1.64,0.99,4,4,11,3,15,7,"[56.1169164, 8.951716477487706, 'Region Midtjylland']",56.1169164,8.951716477,Region Midtjylland,Herning
1380,19-20,Sep 13 2019,9,Jens Maae,Sydbank Park (Haderslev),4743,Sonderjyske,Horsens,Draw,Draw,1,1,0,0,0,0,37,63,6,12,0,0,0,0,8,4,1.83,3.6,4.33,1.19,1.61,1.91,1.16,7,4,8,5,15,9,"[55.2613291, 9.487707200000001, 'Region Syddanmark']",55.2613291,9.4877072,Region Syddanmark,Haderslev
1381,19-20,Sep 15 2019,9,Anders Poulsen,Ceres Park (Aarhus),10235,AGF,AaB,Won,Lost,3,0,3,0,2,0,56,44,13,11,0,0,2,1,6,6,2.5,3.5,2.63,1.5,1.5,2.08,1.27,8,5,11,7,19,12,"[56.1327356, 10.196762, 'Region Midtjylland']",56.1327356,10.196762,Region Midtjylland,Aarhus
1382,19-20,Sep 15 2019,9,Morten Krogh,Blue Water Arena (Esbjerg),3422,Esbjerg,Randers,Lost,Won,0,3,0,3,0,1,54,46,14,14,1,0,2,0,0,8,2.35,3.25,3,1.48,1.49,0.76,1.76,0,7,7,5,7,12,"[55.48194305, 8.438397123328269, 'Region Syddanmark']",55.48194305,8.438397123,Region Syddanmark,Esbjerg
1383,19-20,Sep 15 2019,9,Mads-Kristoffer Kristoffersen,Lyngby Stadion (Lyngby),4139,Lyngby,Midtjylland,Lost,Won,0,3,0,3,0,1,53,47,7,11,0,0,1,1,5,3,5.55,4.2,1.54,1.22,1.52,1.18,1.7,5,7,3,7,8,14,"[55.7813228, 12.505714505112913, 'Region Hovedstaden']",55.7813228,12.50571451,Region Hovedstaden,Kongens Lyngby
1384,19-20,Sep 15 2019,9,Peter KjÂaersgaard-Andersen,DS Arena (Hobro),5428,Hobro,Kobenhavn,Won,Lost,3,0,2,1,2,1,73,27,13,8,0,0,3,0,3,11,6,4.25,1.51,1.12,1.7,1.57,1.7,8,4,5,8,13,12,"[56.633153750000005, 9.817017587976746, 'Region Nordjylland']",56.63315375,9.817017588,Region Nordjylland,Hobro
